Date,Open,High,Low,Close,Adj Close,Volume,50MA - average closing price over 50 days,200MA - average closing price over 200 days,Volatility
2021-04-30,249.74000549316406,253.0800018310547,249.60000610351562,252.17999267578125,247.17201232910156,30945100,,,
2021-05-03,253.39999389648438,254.35000610351562,251.1199951171875,251.86000061035156,246.85836791992188,19626600,,,
2021-05-04,250.97000122070312,251.2100067138672,245.75999450683594,247.7899932861328,242.86917114257812,32756100,,,
2021-05-05,249.05999755859375,249.5,245.82000732421875,246.47000122070312,241.5753936767578,21901300,,,
2021-05-06,246.4499969482422,249.86000061035156,244.69000244140625,249.72999572753906,244.7706756591797,26491100,,,
2021-05-07,252.14999389648438,254.3000030517578,251.1699981689453,252.4600067138672,247.44644165039062,27032900,,,
2021-05-10,250.8699951171875,251.72999572753906,247.1199951171875,247.17999267578125,242.27130126953125,29299900,,,
2021-05-11,244.5500030517578,246.60000610351562,242.57000732421875,246.22999572753906,241.3401641845703,33641600,,,
2021-05-12,242.1699981689453,244.3800048828125,238.07000732421875,239.0,234.2537384033203,36684400,,,
2021-05-13,241.8000030517578,245.60000610351562,241.4199981689453,243.02999877929688,238.20372009277344,29624300,,,
2021-05-14,245.5800018310547,249.17999267578125,245.49000549316406,248.14999389648438,243.2220458984375,23901100,,,
2021-05-17,246.5500030517578,246.58999633789062,243.52000427246094,245.17999267578125,240.31101989746094,24970200,,,
2021-05-18,246.27000427246094,246.41000366210938,242.89999389648438,243.0800018310547,238.2527313232422,20168000,,,
2021-05-19,239.30999755859375,243.22999572753906,238.60000610351562,243.1199951171875,238.8421630859375,25739800,,,
2021-05-20,243.9600067138672,247.9499969482422,243.86000061035156,246.47999572753906,242.14305114746094,21800700,,,
2021-05-21,247.57000732421875,248.3300018310547,244.74000549316406,245.1699981689453,240.85609436035156,21863100,,,
2021-05-24,247.7899932861328,251.16000366210938,247.50999450683594,250.77999877929688,246.36737060546875,21411500,,,
2021-05-25,251.77000427246094,252.75,250.82000732421875,251.72000122070312,247.2908477783203,17704300,,,
2021-05-26,251.42999267578125,252.94000244140625,250.75,251.49000549316406,247.06491088867188,17771600,,,
2021-05-27,251.1699981689453,251.47999572753906,249.25,249.30999755859375,244.92323303222656,24426200,,,
2021-05-28,251.0,252.0800018310547,249.55999755859375,249.67999267578125,245.2867431640625,18270200,,,
